Time,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
%Apop:MB231:CH+SH,0.035153,0.031548,0.229827,0.571325,0.790428,0.861572,0.893632,0.911913,0.915094,0.929659,0.941474,0.950867,0.958874,0.965243,0.974063,0.975575,0.982734,0.981988,0.984935,0.981187,0.974729,0.968998,0.963899,0.958815,0.95671,0.953957
%Apop:MB231:CH+MLN,0.025447,0.023396,0.091864,0.335079,0.513089,0.604802,0.666884,0.733464,0.786176,0.828257,0.860285,0.877273,0.894194,0.910564,0.918673,0.931951,0.944337,0.952842,0.955282,0.960492,0.959948,0.961315,0.963273,0.959974,0.952751,0.952628
%Apop:MB231:CH+Lap,0.029936,0.0319,0.111034,0.404432,0.650586,0.799451,0.865887,0.908595,0.927148,0.948665,0.960247,0.96431,0.970508,0.975292,0.977382,0.979508,0.977474,0.97948,0.980218,0.98218,0.982192,0.9809,0.974623,0.973919,0.971311,0.973342
%Apop:MB231:C+MLN+SH,0.019274,0.023948,0.114244,0.249277,0.392523,0.511191,0.613554,0.676513,0.71439,0.745112,0.764451,0.786897,0.826118,0.859195,0.879509,0.9,0.912509,0.927076,0.936017,0.944604,0.949202,0.950903,0.943329,0.939199,0.940128,0.941219
%Apop:MB231:CH+PX,0.037241,0.039786,0.09837,0.273406,0.438254,0.534631,0.606857,0.655701,0.68424,0.733447,0.770354,0.79638,0.820124,0.839437,0.857384,0.878583,0.881261,0.898039,0.907491,0.917561,0.92077,0.926404,0.922904,0.920537,0.911946,0.909955
%Apop:MB231:Pax,0.023795,0.027123,0.07403,0.087834,0.102306,0.102473,0.110006,0.122797,0.117925,0.117128,0.121495,0.118229,0.120212,0.113517,0.1128,0.117201,0.11993,0.120559,0.113054,0.117509,0.117578,0.12068,0.120821,0.126761,0.136042,0.136175
%Apop:MB231:C+Pax,0.026017,0.024691,0.07557,0.16906,0.244473,0.312907,0.393346,0.477407,0.501309,0.483745,0.488342,0.524366,0.585845,0.642857,0.70429,0.768721,0.819198,0.86693,0.895395,0.918865,0.936477,0.94699,0.948298,0.958797,0.957544,0.959237
%Apop:MB231:H+Pax,0.034705,0.032411,0.126482,0.274587,0.376183,0.452904,0.502351,0.54252,0.565321,0.591772,0.620853,0.637658,0.64933,0.663233,0.685782,0.699686,0.722353,0.739748,0.767059,0.784314,0.799371,0.820553,0.82783,0.83752,0.84549,0.854216
%Apop:MB231:CH+Pax,0.053414,0.052767,0.110063,0.242593,0.368034,0.492327,0.572744,0.618902,0.656634,0.709677,0.735472,0.75573,0.778649,0.80268,0.827879,0.846478,0.857486,0.875672,0.879248,0.88635,0.892447,0.894417,0.891875,0.892317,0.887743,0.885784
%Apop:MB453:Untreat,0.034208,0.032184,0.033073,0.057057,0.079327,0.096349,0.099045,0.120905,0.12176,0.113038,0.108499,0.114695,0.101251,0.089008,0.081996,0.08024,0.075995,0.068182,0.062352,0.057396,0.057499,0.062759,0.057885,0.055981,0.05743,0.05743
%Apop:MB453:HO,0.033714,0.030215,0.038946,0.058382,0.087995,0.114102,0.142105,0.168028,0.190087,0.215286,0.232153,0.258178,0.285714,0.309315,0.3404,0.373743,0.40678,0.434524,0.462366,0.522229,0.560446,0.604748,0.633944,0.662005,0.694008,0.70544
%Apop:MB453:MLN+SH,0.035915,0.028603,0.040533,0.035714,0.070934,0.097959,0.143605,0.217366,0.292569,0.346199,0.462297,0.564028,0.679147,0.754213,0.808092,0.847625,0.875359,0.906358,0.917573,0.928037,0.945371,0.961114,0.975216,0.977586,0.979346,0.983352
%Apop:MB453:HO+MLN+SH,0.04321,0.036036,0.042517,0.048533,0.104049,0.151195,0.214245,0.298922,0.36661,0.424022,0.47677,0.546622,0.622284,0.699223,0.768554,0.828039,0.862637,0.887555,0.913067,0.930548,0.945593,0.955472,0.962803,0.967275,0.974526,0.977909
%Apop:MB453:Cry,0.041032,0.034296,0.049969,0.0438,0.047736,0.059436,0.085784,0.122786,0.199385,0.255756,0.334169,0.398738,0.449593,0.474079,0.483374,0.510962,0.568758,0.639542,0.726891,0.82132,0.893029,0.938397,0.975375,0.990373,0.991617,0.995212
%Apop:MB453:C+H,0.032747,0.027898,0.026403,0.036521,0.048312,0.081848,0.127249,0.213093,0.33221,0.425249,0.526954,0.590208,0.645527,0.673267,0.711184,0.755715,0.819961,0.893782,0.932345,0.961265,0.98708,0.991618,0.994842,0.996124,0.996789,0.997408
%Apop:MB453:CH+SH,0.05905,0.049904,0.056641,0.049407,0.080497,0.108108,0.167222,0.235762,0.319787,0.360764,0.383104,0.39384,0.435526,0.530293,0.633441,0.751449,0.83796,0.90129,0.937099,0.949775,0.962868,0.96871,0.97318,0.977099,0.977636,0.982792
