Time,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
%Apop:MIA:CH+PX,0.129362,0.123705,0.120352,0.227273,0.315224,0.383648,0.442613,0.507283,0.586709,0.643758,0.694497,0.734579,0.758838,0.796798,0.814277,0.855407,0.866545,0.895909,0.908548,0.919423,0.93385,0.937463,0.947306,0.953447,0.95933,0.963073,0.996047
%Apop:HS:Untreat,0.040915,0.043452,0.040929,0.04936,0.06711,0.067584,0.063625,0.067463,0.062878,0.060335,0.056213,0.054296,0.053066,0.05116,0.053878,0.054406,0.049645,0.049112,0.048694,0.043298,0.040428,0.039645,0.039481,0.04174,0.043375,0.0443,0.050147
%Apop:HS:HO,0.044923,0.043663,0.078052,0.239528,0.506915,0.672572,0.77248,0.81758,0.852252,0.874775,0.896864,0.912492,0.922429,0.940642,0.946061,0.954435,0.957421,0.961189,0.960534,0.964976,0.965957,0.966061,0.969623,0.969072,0.972711,0.975256,0.983929
%Apop:HS:MLN+SH,0.042355,0.045616,0.063655,0.055046,0.066462,0.065816,0.074885,0.074795,0.085671,0.082691,0.105799,0.111168,0.120062,0.147996,0.16002,0.167775,0.181818,0.20284,0.213855,0.220994,0.225113,0.241276,0.264293,0.263659,0.283926,0.297149,0.520202
%Apop:HS:HO+MLN+SH,0.047437,0.044728,0.095313,0.224129,0.448573,0.581132,0.706294,0.767153,0.814116,0.838307,0.872144,0.885776,0.903784,0.926566,0.931388,0.943662,0.945799,0.960668,0.963881,0.965405,0.966866,0.969631,0.971831,0.97447,0.975583,0.975623,0.984341
%Apop:HS:Cry,0.047532,0.051878,0.044776,0.08808,0.142186,0.171747,0.218732,0.235772,0.285878,0.320809,0.369528,0.41895,0.457742,0.533597,0.553653,0.598748,0.65442,0.724554,0.754761,0.778679,0.787356,0.812788,0.813873,0.811092,0.814114,0.82699,0.965023
%Apop:HS:C+H,0.052115,0.044189,0.052601,0.104434,0.196616,0.27054,0.385689,0.464699,0.577259,0.640788,0.728172,0.789687,0.838728,0.89243,0.909505,0.920435,0.929954,0.936508,0.938426,0.936436,0.940571,0.947638,0.950113,0.953196,0.950028,0.952164,0.976865
%Apop:HS:CH+SH,0.044619,0.045074,0.046586,0.140115,0.283896,0.372197,0.458891,0.49077,0.53038,0.566265,0.604548,0.657179,0.706994,0.757538,0.780934,0.798101,0.813249,0.828698,0.833439,0.846447,0.85443,0.866836,0.874921,0.890236,0.903969,0.908451,0.969421
%Apop:HS:CH+MLN,0.043705,0.050032,0.05167,0.114137,0.230323,0.301752,0.397021,0.486332,0.616858,0.70456,0.777215,0.823529,0.877436,0.902424,0.917808,0.924224,0.93271,0.94275,0.945069,0.945137,0.95125,0.948557,0.953547,0.953923,0.957527,0.96257,0.983534
%Apop:HS:CH+Lap,0.049168,0.048048,0.070392,0.108389,0.225111,0.284862,0.411029,0.513333,0.651369,0.732841,0.811251,0.852811,0.895941,0.931618,0.931968,0.937592,0.942167,0.956903,0.953642,0.94883,0.946103,0.954612,0.957818,0.957122,0.959361,0.960841,0.988448
%Apop:HS:C+MLN+SH,0.039834,0.040917,0.046888,0.071837,0.11683,0.136626,0.18018,0.210181,0.271242,0.310401,0.366232,0.402801,0.485974,0.638821,0.661741,0.716997,0.745665,0.813107,0.806214,0.817363,0.821192,0.839109,0.851151,0.863374,0.87531,0.892181,0.977977
%Apop:HS:CH+PX,0.04528,0.038023,0.047297,0.105304,0.203364,0.249807,0.359756,0.435681,0.562027,0.627942,0.733585,0.785768,0.842066,0.889635,0.908546,0.918675,0.922446,0.942265,0.944569,0.95082,0.949624,0.951384,0.959289,0.957746,0.957037,0.963542,0.980868
%Apop:PANC1TD2:Untreat,0.047824,0.049843,0.054255,0.069219,0.078534,0.078575,0.081718,0.078594,0.080206,0.075103,0.075639,0.07392,0.069683,0.067149,0.071979,0.065701,0.061065,0.065675,0.060322,0.059886,0.058582,0.058247,0.056397,0.059156,0.063655,0.065878,0.135028
%Apop:PANC1TD2:HO,0.08282,0.079974,0.121015,0.20338,0.328079,0.416274,0.487074,0.54873,0.6418,0.72071,0.811834,0.875369,0.917897,0.944873,0.959858,0.971091,0.978824,0.980611,0.985907,0.986558,0.988263,0.985957,0.984733,0.982353,0.984118,0.982332,0.99589
%Apop:PANC1TD2:MLN+SH,0.052775,0.053083,0.072533,0.074881,0.083377,0.081823,0.088601,0.09019,0.090671,0.09327,0.107612,0.113984,0.123273,0.136702,0.14992,0.162191,0.180354,0.196765,0.224677,0.247831,0.279523,0.315646,0.355642,0.390817,0.43178,0.468838,0.87313
%Apop:PANC1TD2:HO+MLN+SH,0.086614,0.082787,0.132159,0.188222,0.318809,0.410982,0.48249,0.555679,0.645197,0.703151,0.77414,0.836587,0.882647,0.903315,0.924779,0.945434,0.954495,0.955075,0.956329,0.958403,0.959003,0.956811,0.949115,0.945304,0.949668,0.954194,0.990169
%Apop:PANC1TD2:Cry,0.086686,0.085886,0.104839,0.137459,0.165485,0.17132,0.182811,0.203043,0.216485,0.230587,0.249405,0.27117,0.289662,0.32114,0.351338,0.394901,0.44023,0.491607,0.54225,0.587923,0.615942,0.635663,0.661665,0.676641,0.68541,0.684641,0.776863
%Apop:PANC1TD2:C+H,0.081439,0.069496,0.09027,0.131086,0.209963,0.299035,0.440514,0.57496,0.665591,0.75431,0.813139,0.846857,0.867024,0.891689,0.899786,0.900428,0.909091,0.909335,0.905863,0.903692,0.904558,0.900588,0.89055,0.88094,0.86873,0.861111,0.975974
%Apop:PANC1TD2:CH+SH,0.085395,0.088506,0.086368,0.128086,0.204229,0.307732,0.428866,0.533265,0.602676,0.657935,0.709231,0.743721,0.775385,0.804515,0.8151,0.835041,0.836326,0.834101,0.827002,0.822416,0.814001,0.802164,0.786674,0.778006,0.762101,0.76713,0.956276
%Apop:PANC1TD2:CH+MLN,0.076336,0.076203,0.081325,0.110777,0.193976,0.279042,0.412223,0.551205,0.659676,0.744144,0.812876,0.850962,0.872162,0.888489,0.89228,0.905446,0.91403,0.916766,0.916067,0.913824,0.914576,0.910832,0.89521,0.891552,0.884014,0.874625,0.985397
%Apop:PANC1TD2:CH+Lap,0.064873,0.063396,0.082927,0.137716,0.225517,0.390041,0.546149,0.671309,0.748257,0.802083,0.83936,0.863794,0.875867,0.891742,0.899793,0.901379,0.913912,0.910345,0.906401,0.907025,0.896907,0.893939,0.895862,0.89779,0.89234,0.887586,0.984072
%Apop:PANC1TD2:C+MLN+SH,0.075647,0.073856,0.053833,0.089683,0.125878,0.140413,0.168526,0.195767,0.222222,0.266272,0.313459,0.374926,0.444707,0.519648,0.571429,0.619019,0.666079,0.713361,0.728884,0.75163,0.766766,0.777383,0.767277,0.768915,0.771176,0.770772,0.935769
%Apop:PANC1TD2:CH+PX,0.065284,0.064209,0.087936,0.122546,0.204666,0.321882,0.460485,0.593319,0.696504,0.760212,0.805717,0.834038,0.856765,0.873217,0.882883,0.891189,0.899577,0.904812,0.900053,0.889768,0.885185,0.886016,0.876387,0.873618,0.863996,0.864165,0.977766
%Apop:P4057:Untreat,0.083404,0.085763,0.055743,0.065812,0.077711,0.090595,0.101019,0.108733,0.106746,0.126796,0.12424,0.116872,0.122144,0.134549,0.136247,0.140957,0.149823,0.165611,0.158407,0.169912,0.171053,0.184867,0.182134,0.19327,0.19738,0.200698,0.363273
%Apop:P4057:HO,0.090847,0.087647,0.114557,0.13253,0.165536,0.192202,0.253425,0.365199,0.47075,0.600138,0.707384,0.79958,0.853862,0.889368,0.901554,0.900467,0.909623,0.910924,0.906412,0.911496,0.909683,0.913043,0.915547,0.920354,0.920319,0.922999,0.912611
%Apop:P4057:MLN+SH,0.072564,0.073222,0.047101,0.05826,0.080417,0.093704,0.102339,0.134783,0.173091,0.205052,0.236902,0.29173,0.354151,0.403336,0.450876,0.493661,0.55475,0.611481,0.649654,0.698413,0.74221,0.76834,0.818,0.823899,0.839323,0.84106,0.863184
%Apop:P4057:HO+MLN+SH,0.087046,0.097662,0.107527,0.139206,0.195286,0.279786,0.374665,0.501016,0.615542,0.701094,0.800842,0.824823,0.832973,0.860584,0.862271,0.865889,0.873512,0.876241,0.866464,0.875289,0.876092,0.871875,0.88118,0.881643,0.882353,0.880524,0.848022
%Apop:P4057:Cry,0.081575,0.086171,0.076762,0.082143,0.104956,0.1267,0.142338,0.174855,0.230216,0.308855,0.416303,0.541606,0.648081,0.747594,0.817431,0.885626,0.919748,0.944719,0.938514,0.939261,0.946364,0.941281,0.943162,0.934763,0.937613,0.934884,0.953042
%Apop:P4057:C+H,0.076805,0.080451,0.088872,0.102256,0.116642,0.141791,0.187825,0.278107,0.392805,0.53738,0.658972,0.760997,0.809104,0.855051,0.870968,0.888645,0.899486,0.900366,0.909357,0.919118,0.922851,0.925055,0.929682,0.927407,0.934025,0.92809,0.928277
%Apop:P4057:CH+SH,0.063291,0.067463,0.055113,0.061276,0.075402,0.091968,0.119976,0.173675,0.254054,0.358092,0.481325,0.593972,0.672814,0.720972,0.736967,0.751329,0.738416,0.742317,0.740566,0.739461,0.747785,0.760947,0.771951,0.78222,0.800951,0.806892,0.90307
%Apop:P4057:CH+MLN,0.085477,0.0875,0.079627,0.097417,0.123448,0.153232,0.217359,0.295455,0.421864,0.536023,0.658849,0.743902,0.804049,0.853784,0.87041,0.881174,0.893495,0.897915,0.907314,0.914306,0.930649,0.932742,0.936709,0.935698,0.936858,0.933878,0.922897
%Apop:P4057:CH+Lap,0.065539,0.06611,0.084866,0.103348,0.132565,0.162607,0.205776,0.269148,0.363963,0.488121,0.614725,0.72649,0.792171,0.848962,0.880115,0.896825,0.909897,0.918262,0.909024,0.91612,0.927835,0.928624,0.933681,0.935484,0.939098,0.940075,0.916
%Apop:P4057:C+MLN+SH,0.079606,0.082326,0.056317,0.080126,0.097678,0.116297,0.149804,0.196863,0.265466,0.344094,0.459069,0.542587,0.643307,0.745396,0.806555,0.863745,0.889783,0.894355,0.90546,0.915102,0.915505,0.918167,0.913864,0.915574,0.916598,0.919569,0.953793
